127.0.0.1 - - [24/Jun/2016:11:11:32 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [24/Jun/2016:11:11:43 +0530] "GET /letgetsstarted/ HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [24/Jun/2016:11:12:10 +0530] "GET /letgetsstarted/ HTTP/1.1" 200 284
0:0:0:0:0:0:0:1 - - [24/Jun/2016:11:56:08 +0530] "GET /letgetsstarted/index.jsp HTTP/1.1" 200 407
0:0:0:0:0:0:0:1 - - [24/Jun/2016:11:56:22 +0530] "GET /letgetsstarted/submit?brcode= HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [24/Jun/2016:11:58:01 +0530] "GET /letgetsstarted/ HTTP/1.1" 200 410
0:0:0:0:0:0:0:1 - - [24/Jun/2016:11:58:02 +0530] "GET /letgetsstarted/index.jsp?brcode= HTTP/1.1" 200 410
0:0:0:0:0:0:0:1 - - [24/Jun/2016:11:58:05 +0530] "GET /letgetsstarted/index.jsp?brcode= HTTP/1.1" 200 410
0:0:0:0:0:0:0:1 - - [24/Jun/2016:11:58:08 +0530] "GET /letgetsstarted/index.jsp?brcode=as HTTP/1.1" 200 410
0:0:0:0:0:0:0:1 - - [24/Jun/2016:12:02:41 +0530] "GET /letgetsstarted/index.jsp?brcode=as HTTP/1.1" 200 410
0:0:0:0:0:0:0:1 - - [24/Jun/2016:12:02:43 +0530] "GET /letgetsstarted/index.jsp?brcode=as HTTP/1.1" 200 410
0:0:0:0:0:0:0:1 - - [24/Jun/2016:12:02:48 +0530] "GET /letgetsstarted/index.jsp?brcode=as HTTP/1.1" 200 424
0:0:0:0:0:0:0:1 - - [24/Jun/2016:12:02:51 +0530] "POST /letgetsstarted/index.jsp HTTP/1.1" 200 424
0:0:0:0:0:0:0:1 - - [24/Jun/2016:12:02:53 +0530] "POST /letgetsstarted/index.jsp HTTP/1.1" 200 424
0:0:0:0:0:0:0:1 - - [24/Jun/2016:12:02:54 +0530] "POST /letgetsstarted/index.jsp HTTP/1.1" 200 424
0:0:0:0:0:0:0:1 - - [24/Jun/2016:12:02:54 +0530] "POST /letgetsstarted/index.jsp HTTP/1.1" 200 424
0:0:0:0:0:0:0:1 - - [24/Jun/2016:13:17:26 +0530] "POST /letgetsstarted/index.jsp HTTP/1.1" 200 617
0:0:0:0:0:0:0:1 - - [24/Jun/2016:13:17:30 +0530] "GET /letgetsstarted/index.jsp?brcode=as HTTP/1.1" 200 617
0:0:0:0:0:0:0:1 - - [24/Jun/2016:13:17:33 +0530] "GET /letgetsstarted/index.jsp?brcode= HTTP/1.1" 200 617
0:0:0:0:0:0:0:1 - - [24/Jun/2016:13:17:35 +0530] "GET /letgetsstarted/index.jsp?brcode= HTTP/1.1" 200 617
0:0:0:0:0:0:0:1 - - [24/Jun/2016:13:17:44 +0530] "GET /letgetsstarted/index.jsp HTTP/1.1" 200 617
0:0:0:0:0:0:0:1 - - [24/Jun/2016:13:17:49 +0530] "GET /letgetsstarted/index.jsp?brcode= HTTP/1.1" 200 617
0:0:0:0:0:0:0:1 - - [24/Jun/2016:13:17:51 +0530] "GET /letgetsstarted/index.jsp?brcode=as HTTP/1.1" 200 617
0:0:0:0:0:0:0:1 - - [24/Jun/2016:13:18:51 +0530] "GET /letgetsstarted/index.jsp?brcode=as HTTP/1.1" 200 615
0:0:0:0:0:0:0:1 - - [24/Jun/2016:13:18:54 +0530] "GET /letgetsstarted/index.jsp?brcode=as HTTP/1.1" 200 615
0:0:0:0:0:0:0:1 - - [24/Jun/2016:13:18:55 +0530] "GET /letgetsstarted/index.jsp?brcode= HTTP/1.1" 200 615
0:0:0:0:0:0:0:1 - - [24/Jun/2016:13:18:57 +0530] "GET /letgetsstarted/index.jsp?brcode= HTTP/1.1" 200 615
0:0:0:0:0:0:0:1 - - [24/Jun/2016:13:18:59 +0530] "GET /letgetsstarted/index.jsp?brcode= HTTP/1.1" 200 615
0:0:0:0:0:0:0:1 - - [24/Jun/2016:13:19:19 +0530] "GET /letgetsstarted/index.jsp?brcode= HTTP/1.1" 200 617
0:0:0:0:0:0:0:1 - - [24/Jun/2016:13:19:20 +0530] "GET /letgetsstarted/index.jsp?brcode= HTTP/1.1" 200 617
0:0:0:0:0:0:0:1 - - [24/Jun/2016:13:25:27 +0530] "GET /letgetsstarted/index.jsp?brcode= HTTP/1.1" 200 622
0:0:0:0:0:0:0:1 - - [24/Jun/2016:13:25:30 +0530] "GET /letgetsstarted/index.jsp?brcode= HTTP/1.1" 200 622
0:0:0:0:0:0:0:1 - - [24/Jun/2016:13:25:42 +0530] "GET /letgetsstarted/ HTTP/1.1" 200 622
0:0:0:0:0:0:0:1 - - [24/Jun/2016:13:25:46 +0530] "GET /letgetsstarted/index.jsp?brcode= HTTP/1.1" 200 622
0:0:0:0:0:0:0:1 - - [24/Jun/2016:13:25:49 +0530] "GET /letgetsstarted/index.jsp?brcode=as HTTP/1.1" 200 622
0:0:0:0:0:0:0:1 - - [24/Jun/2016:13:25:51 +0530] "GET /letgetsstarted/index.jsp?brcode= HTTP/1.1" 200 622
0:0:0:0:0:0:0:1 - - [24/Jun/2016:13:26:14 +0530] "GET /letgetsstarted/ HTTP/1.1" 200 622
0:0:0:0:0:0:0:1 - - [24/Jun/2016:13:26:16 +0530] "GET /letgetsstarted/index.jsp?brcode= HTTP/1.1" 200 622
